昵称,用户id,头像,身高,学历,省份,城市,出生年份,性别,交友宣言
宝子cc,722226,http://img.7799520.com/data/attachment/avatar/201710/09/722226/59db50e0e1688.jpg.thump.jpg,167,本科,江苏,南京,1994,2,胆大心细脸皮厚
xyfjz,722149,http://img.7799520.com/data/attachment/avatar/201709/30/722149/59cf4c498a974.jpeg.thump.jpeg,158,本科,广东,深圳,1988,2,帐号是我帮朋友注册的，但头像是她本人。此妹子从小在广东长大，专业英语，所以两岸三语都会说。对自己比较有要求，下班后要么去健身要么去上舞蹈课，对自己身材管理比较严格。喜欢吃好吃的，所以厨艺很好，对生活有一定的追求，但是很讨厌铺张浪费，属于比较精打细算的那种孩子吧。年纪看上去可能比较大，但是长了张18岁的脸。比较讲究，爱干净，生活邋遢跟吸烟的男士勿扰。
一蓑烟雨晴,721953,http://img.7799520.com/data/attachment/avatar/201709/30/721953/59cf0da07ba2b.JPG.thump.JPG,160,本科,湖北,随州,1991,2,愿岁月可回首，且以深情共白头
宁子Nisha,721678,http://img.7799520.com/data/attachment/avatar/201709/30/721678/59ce9efe12279.jpg.thump.jpg,160,中专,四川,成都,1993,2,不需要轰轰烈烈，只想要简单的幸福！
姚妹,721651,http://img.7799520.com/data/attachment/avatar/201710/01/721651/59d06d74ba054.jpg.thump.jpg,149,初中,广东,深圳,1996,2,我虽没有漂亮的外表，但我有一颗真诚的心，陪你开心，陪你难过，在你到老，
贤妻良母型,721634,http://img.7799520.com/data/attachment/avatar/201710/05/721634/59d55358ef58c.jpg.thump.jpg,160,硕士,北京,北京,1958,2,有北京58到66岁以下男士吗？北京公务员女，身高160米，体重53公斤。温柔贤惠，身体健康。（公务员，事业单位优先）。
做你背后的女人,721494,http://img.7799520.com/2018-01-30-1517305427-RgCk2VSL.png,170,高中,上海,上海,1994,2,你若不离我定不弃
婷婵,721474,http://img.7799520.com/6c14fd88-af90-432d-bd2c-c83042b47a36,164,初中,广东,东莞,1992,2,认认真真做好自己，期待我的他
麦琪66,721431,http://img.7799520.com/data/attachment/avatar/201709/29/721431/59ce5a8069dda.jpg.thump.jpg,160,高中,福建,厦门,1989,2,"愿得一人心，白首不相离
离异"
瓶子-Julie,721297,http://img.7799520.com/data/attachment/avatar/201710/01/721297/59d04b1895372.jpg.thump.jpg,164,本科,山东,青岛,1986,2,你到底在哪里?
crystal晶,721274,http://img.7799520.com/data/attachment/avatar/201709/29/721274/59ce446ab7721.jpg.thump.jpg,168,本科,上海,上海,1993,2,如果让我在这里遇见你，会不会是个奇迹呢，曾经无数次幻想过未来另一半的样子，朦胧而亲切，找寻至今，我才相信，爱情终究是缘分，茫茫人海两个人的相识相爱，本身就是一种巧合，你会是我的那个巧合吗？
WINNI.HY,721266,http://img.7799520.com/data/attachment/avatar/201710/03/721266/59d3797eb4526.jpg.thump.jpg,155,大专,广东,广州,1991,2,成长经历太多。
苦菜花的面包店,721056,http://img.7799520.com/data/attachment/avatar/201709/29/721056/59cdfffa028b8.jpg.thump.jpg,157,初中,四川,攀枝花,1971,2,搞不懂了，看见有缘的就直接留微信号联系吧！我认证不了，看见了回不来信息怎么办呢？帅哥些，有两个帅哥联系不上哦
思柔,720977,http://img.7799520.com/b6c9296d-0d28-466c-91b3-1ac3da8d83f6,161,大专,湖北,黄冈,1991,2,也许我很平凡，但是我绝不缺乏生活的热情和生命的梦想，也许我会孤单，但是我会一路找寻你的踪迹。遇见你，将是我生命中最绚烂的时刻。
ki.ki,720949,http://img.7799520.com/data/attachment/avatar/201709/29/720949/59cde9358ff9b.jpg.thump.jpg,155,中专,广东,广州,1989,2,你找不到理想的另一半很正常啊，你也没成为理想的自己不是吗？
美美2017,720948,http://img.7799520.com/data/attachment/avatar/201709/29/720948/59cde91c13f19.jpg.thump.jpg,164,本科,上海,上海,1980,2,找一个合得来三观一致的有缘人
수지,720747,http://img.7799520.com/data/attachment/avatar/201709/29/720747/59cdb0edef1e6.jpg.thump.jpg,163,本科,四川,成都,1989,2,普通人。
张梦婷123,720729,http://img.7799520.com/data/attachment/avatar/201709/29/720729/59cdafa37121d.jpg.thump.jpg,168,高中,浙江,杭州,1991,2,有意者加我微信：zmt1037 阳光温热，岁月静好，你若未来，我怎肯离去！择一城，择一人，付一生，牵手一世！非诚勿念！我是一个温暖的女孩儿，所以要寻觅一个温暖的男孩儿，一起过温暖的日子！相信缘分七分人意，三分天注定，所以不强求，顺其自然！会有那么一天我俩将不期而遇，温暖彼此！
逸桐,720705,http://img.7799520.com/data/attachment/avatar/201709/29/720705/59cda493078ad.jpg.thump.jpg,160,大专,浙江,舟山,1965,2,愿得一人心，白首不分离
刘晓佳,720374,http://img.7799520.com/43dc09eb-bd69-47bc-8ecb-6c7e5bc91932,169,大专,广东,深圳,1989,2,随缘不将就！
墨上花,720300,http://img.7799520.com/data/attachment/avatar/201709/28/720300/59cd11d7c65ec.jpg.thump.jpg,168,高中,浙江,杭州,1990,2,频道不同，不必打扰
等待与守候,720182,http://img.7799520.com/data/attachment/avatar/201710/08/720182/59d9bbfc04cef.jpg.thump.jpg,154,中专,湖南,长沙,1992,2,愿得一人心，白首不分离
湾湾哞,720150,http://img.7799520.com/data/attachment/avatar/201709/28/720150/59ccfd608bb77.jpeg.thump.jpeg,165,硕士,广东,深圳,1994,2,想找个温暖的依靠
miss嗯嗯,720078,http://img.7799520.com/data/attachment/avatar/201709/28/720078/59ccf1e5833a1.jpg.thump.jpg,165,本科,广东,广州,1991,2,"天才在左，瘋子在右
你是瘋兒，我是傻"
回忆总是美好的·,720063,http://img.7799520.com/data/attachment/avatar/201709/29/720063/59cdac2e172e5.png.thump.png,165,本科,浙江,嘉兴,1990,2,V信gckj123456，我是一个简单的人，感情经历也很简单，我相信爱情，所以一直在等待，人生需要遇到一个对的人，也需要缘分，我们在这样忙碌的城市里，更要沉下心来感受，虽然可能会遇到各种各样的人，也许曾经有过失败，但我相信，终会遇到那个对的人，会遇到那个可以一起走下去的人。愿得一人心，白首不相离！！！
秋水~Sphie,720026,http://img.7799520.com/386346ff-fcf0-4a0a-9811-25bcfb35dab5,155,大专,上海,上海,1986,2,我站在楼上看风景，看风景的人在桥上看你，明月装饰了你的窗子，你装饰了别人的梦。
一抹淡花香,720012,http://img.7799520.com/data/attachment/avatar/201710/01/720012/59d0426c59451.jpg.thump.jpg,169,大专,广东,广州,1995,2,我期盼的爱情啊，何时才能到来？
徐彩,720007,http://img.7799520.com/data/attachment/avatar/201709/28/720007/59ccf0374b59f.png.thump.png,168,本科,浙江,杭州,1988,2,微信号：yl1182132z 世界上有一千种等待 最好的那一种叫做来日可期 期待遇见我的那个他
海苔 、,719976,http://img.7799520.com/data/attachment/avatar/201709/28/719976/59cce364f005d.jpg.thump.jpg,164,高中,湖北,武汉,1993,2,你说过要保护她周全，从此我便孤身一人颠肺流离
jessy渝,719953,http://img.7799520.com/data/attachment/avatar/201709/29/719953/59cdf86053c69.jpg.thump.jpg,157,中专,广东,广州,1988,2,期待不完美的你
诺爱,719918,http://img.7799520.com/data/attachment/avatar/201709/29/719918/59ce4d3f81feb.jpg.thump.jpg,165,大专,广东,广州,1995,2,如果爱，请深爱。
mimiC,719914,http://img.7799520.com/f66afe89-01e8-463c-bb1d-fa41fd057ca1,155,大专,广东,汕头,1993,2,哈喽！哈喽！本人性格呢，总体来说，在不熟的人面前比较矜持，在熟人面前就会释放真我，喜怒哀乐毫不掩饰，会比较可爱一点，哈哈！对另一半的要求呢，我想找一个像宠女儿一样宠我的另一半，要成熟一点，体贴一点的，成熟不局限于年龄（有些一把年纪了也还是很幼稚）。要问我能为你做什么？我一直都奉承，你对我足够好，我对你也一定不会差！所以，有缘人在哪里呢？赶紧出现吧！
虚荣堕落丑八怪,719766,http://img.7799520.com/data/attachment/avatar/201709/28/719766/59ccb62b4b399.jpg.thump.jpg,156,初中,云南,曲靖,1996,2,大家好！我叫孙婷，现年21，喜欢交友，我的座右铭是死八婆丑八怪，人丑笨瞎死三八，长舌妇黑面神。我温柔可爱但丑陋无比，想找一，有礼貌，能经常聊天的哥们儿谈天说地，唠嗑交朋友，谢谢！
妖yue,719700,http://img.7799520.com/data/attachment/avatar/201709/28/719700/59cca31d8bb89.jpg.thump.jpg,164,大专,上海,上海,1989,2,"愿得一人心，白首不相离
拒渣男，妈宝男，要有主见，事情有商有量，脾气温和，有责任感，暂不考虑除上海以外的人"
林小倩,719634,http://img.7799520.com/data/attachment/avatar/201709/28/719634/59cc91c6be3b8.jpg.thump.jpg,155,初中,广东,深圳,1993,2,愿得一人心，白首不分离
雨天小文,719475,http://img.7799520.com/data/attachment/avatar/201709/28/719475/59cc67cf798e1.jpg.thump.jpg,167,本科,上海,上海,1988,2,希望你是个有主见有担当有责任心的男人，孝顺但不是愚孝，万事听家里的还是算了，伤不起，没决定定居上海的也算了，以结婚为目的交友，聊得来三观一致最重要，缘分天定，希望能早点遇到你～
shenger,719474,http://img.7799520.com/data/attachment/avatar/201709/28/719474/59cc67844a8f0.jpg.thump.jpg,158,高中,广东,广州,1994,2,个人相貌平平，但是还是有点思想，有点个人主见。对自己以后的生活和事业有一定的规划，但是计划不如变化呀，自己总要有点应变的能力。我认为我心目中的另一位，是一个有主见，有思想，孝敬父母（这个首要的，满足不了这个，我是绝对不交的，无论男女，呵呵......个人原则），长的咋样这个只是表象，关键看是否有颗善良的心，嘿嘿......就这么多吧。
Yoki_C,719381,http://img.7799520.com/data/attachment/avatar/201709/28/719381/59cc559cd0ee7.jpg.thump.jpg,163,本科,福建,福州,1992,2,想去征服星辰大海
小苏菲,719184,http://img.7799520.com/data/attachment/avatar/201709/28/719184/59cbe5522e2d5.jpg.thump.jpg,161,大专,北京,北京,1989,2,愿得一人心，白首不相离，媺：o④⑦⑦⑦⑦⑦
碧碧520,719129,http://img.7799520.com/data/attachment/avatar/201709/28/719129/59cbd505822a8.jpg.thump.jpg,154,中专,广东,广州,1988,2,相识相知到相恋需要时间，让时间去证明是否适合。有意者，加微信聊吧。
小佳0777,719019,http://img.7799520.com/data/attachment/avatar/201709/27/719019/59cbbe085e50b.jpg.thump.jpg,167,硕士,福建,福州,1993,2,"“我相信美国，我以美国的方式教育我的女儿”
哪部电影？回答正确了再找我说话"
妃弄墨,718991,http://img.7799520.com/data/attachment/avatar/201709/28/718991/59cc6c9b96255.jpg.thump.jpg,154,高中,广东,广州,1990,2,也许我很平凡，但是我绝不缺乏生活的热情和生命的梦想，也许我会孤单，但是我会一路找寻你的踪迹。遇见你，将是我生命中最绚烂的时刻。
marymary,718901,http://img.7799520.com/df475712-0784-4f27-842e-e4e4ba3a07b9,160,本科,福建,厦门,1990,2,想找一位踏实稳重，认真过日子的另一半。
青青！,718751,http://img.7799520.com/data/attachment/avatar/201709/27/718751/59cb92778b2d0.jpg.thump.jpg,163,高中,福建,福州,1993,2,喜欢双眼皮男生
闫姝,718648,http://img.7799520.com/Fgg0bVAr7aRIizX9IWwS_YgZvUNy,157,本科,湖北,武汉,1994,2,害羞的我一直没有找到自己的另一半，期待在这里找到属于自己的那份爱。
Ttttz,718641,http://img.7799520.com/data/attachment/avatar/201710/01/718641/59d0f5b329e50.jpg.thump.jpg,160,本科,广东,广州,1992,2,只要是你就好
一圆,718630,http://img.7799520.com/data/attachment/avatar/201709/27/718630/59cb74932c8d8.jpg.thump.jpg,158,中专,福建,厦门,1981,2,我们不曾见过但默契互相等待等待对的你出现，爱情中能互表心意的三个字（我爱你）感动过无数人，而我觉得最长情告白是（我愿意）。
露欣,718580,http://img.7799520.com/data/attachment/avatar/201709/27/718580/59cb61431a5e2.jpg.thump.jpg,163,大专,广东,广州,1992,2,喜欢你，我眼里就只有你。
美琪-진진,718425,http://img.7799520.com/2017-10-20-1508465904-IMTzmRqe.png,160,大专,北京,北京,1982,2,真心来找我的另一半非诚勿扰
宜＋,718374,http://img.7799520.com/data/attachment/avatar/201709/27/718374/59cb2e3b3b9da.jpg.thump.jpg,157,高中,四川,成都,1986,2,愿得一人心，白首不分离
娴纸,718359,http://img.7799520.com/c3da460a-f415-4126-a830-3e571282794d,150,本科,福建,福州,1990,2,问我吧
LM刘梦,718277,http://img.7799520.com/data/attachment/avatar/201709/27/718277/59cb0f5e5d47e.jpg.thump.jpg,168,本科,浙江,杭州,1988,2,薇芯：13326105062 遇见你是一种缘分，陪伴你是一份幸福，如果你想念，我就会来到你的身边，如果你愿意，我就会一生为你守候。
快乐就是幸福,718242,http://img.7799520.com/data/attachment/avatar/201709/27/718242/59cb055742c20.jpg.thump.jpg,164,大专,湖北,武汉,1980,2,感谢那些浏览我的资料的人，感谢那些关注我的人，感谢那些给我带来爱情希望的人，在我主良缘，在寻找缘分的旅途上，我走得并不孤单。而最应该感谢的，就是你，我未来的所爱，我相信你一定在这里，在一个我还不曾到达的角落，在一个我们的目光不曾交汇的地方。
漆菇凉,718004,http://img.7799520.com/2017-11-14-1510670890-BL5CuTw7.png,169,大专,四川,成都,1989,2,愿得一人心，白首不相离。群发不回复
宝宝才不是逗逼,717951,http://img.7799520.com/data/attachment/avatar/201709/27/717951/59ca7e665209c.jpg.thump.jpg,163,大专,北京,北京,1989,2,好怀念那夏天，我们被雷雨吓的狂叫过大街……
微笑吧珠,717945,http://img.7799520.com/data/attachment/avatar/201709/27/717945/59ca7d5c9f99d.jpg.thump.jpg,154,初中,广东,广州,1996,2,如果让我在这里遇见你，会不会是个奇迹呢，曾经无数次幻想过未来另一半的样子，朦胧而亲切，找寻至今，我才相信，爱情终究是缘分，茫茫人海两个人的相识相爱，本身就是一种巧合，你会是我的那个巧合吗？
郭吉虹,717812,http://img.7799520.com/data/attachment/avatar/201709/26/717812/59ca66ef09e5d.jpg.thump.jpg,155,初中,广东,广州,1997,2,爱一个人不在乎外貌
蓝欣静,717800,http://img.7799520.com/data/attachment/avatar/201710/10/717800/59dc197fda2f0.jpg.thump.jpg,160,本科,湖北,武汉,1993,2,愿得一人心，白首不分离
不忘初心21,717792,http://img.7799520.com/f0b1ae5e-feb0-44d0-bc69-79ba7a77c607,157,高中,河北,张家口,1997,2,我愿堵上我所有时光只爱你一个
朕就是这样的妹子,717763,http://img.7799520.com/data/attachment/avatar/201709/26/717763/59ca5e28455b0.jpg.thump.jpg,163,本科,北京,北京,1991,2,双燕复双燕，双飞令人羡。
贪玩的小女孩,717530,http://img.7799520.com/data/attachment/avatar/201709/26/717530/59ca201345379.jpg.thump.jpg,159,高中,湖北,武汉,1994,2,如牵一人手，就永不在放手
rose123,717407,http://img.7799520.com/data/attachment/avatar/201709/26/717407/59c9fe7e81374.jpg.thump.jpg,160,大专,广东,广州,1964,2,也许我很平凡，但是我绝不缺乏生活的热情和生命的梦想，也许我会孤单，但是我会一路找寻你的踪迹。遇见你，将是我生命中最绚烂的时刻。
Rali,717369,http://img.7799520.com/data/attachment/avatar/201709/26/717369/59c9f2581a409.jpg.thump.jpg,163,大专,广东,广州,1991,2,对伴侣要求会比较高，希望对方健身，有肌肉。人品好，能有宽容心，不怕苦不怕累，思想成熟，见多识广，也是一枚吃货。年纪要比我大，或者同岁。广州本地人优先考虑。还有本人不喜欢做家务，当然偶尔做一下还是可以的。处女情结的麻烦绕道。
你的小可爱ll,717204,http://img.7799520.com/data/attachment/avatar/201709/26/717204/59c9bc5bd4334.jpg.thump.jpg,163,大专,湖南,长沙,1995,2,感谢那些浏览我的资料的人，感谢那些关注我的人，感谢那些给我带来爱情希望的人，在我主良缘，在寻找缘分的旅途上，我走得并不孤单。而最应该感谢的，就是你，我未来的所爱，我相信你一定在这里，在一个我还不曾到达的角落，在一个我们的目光不曾交汇的地方。
HinaC,717168,http://img.7799520.com/data/attachment/avatar/201709/26/717168/59c9afc819ddb.jpg.thump.jpg,163,本科,广东,深圳,1992,2,"基本属性：女，92年，身高162
我爱好"
小小不点儿,717142,http://img.7799520.com/data/attachment/avatar/201709/26/717142/59c9ac5708e90.jpg.thump.jpg,160,高中,四川,成都,1980,2,不求门当户对，但愿夫唱妇随。不求爱情完美，但愿比翼双飞。不求一生富贵，但愿夜夜相陪。岁岁七夕之会，年年与你相随。
爱我别伤我,716910,http://img.7799520.com/FiouYNsvT5VJ5sHcI3N1AleFprfL,156,高中,福建,厦门,1996,2,在茫茫人海之中，轻唤一声，我的爱，我们相视一笑，那是彼此才能会心解读的浪漫回音。
我在想名字,716866,http://img.7799520.com/data/attachment/avatar/201709/26/716866/59c92a39de88f.jpg.thump.jpg,166,大专,湖北,武汉,1994,2,非诚勿扰！！！重要的事只说一遍！
C一撇一捺默写,716863,http://img.7799520.com/data/attachment/avatar/201709/25/716863/59c9257fd7540.jpg.thump.jpg,160,大专,上海,上海,1997,2,今年21岁 老家四川 现和家人在上海居住在一起 现在的我是一名职业人员兼在读大专 希望我的那个他是一位有孝心，看重家庭的人。因为老家是四川，所以本人并不想找一个离我老家很远的，如果有缘，希望能在上海找到一位与我是共同老乡的那个他！
滢梓,716815,http://img.7799520.com/data/attachment/avatar/201709/30/716815/59cf39085a7a1.jpg.thump.jpg,167,本科,湖南,长沙,1991,2,"愿得一人心，白首不相离
琴瑟在御，莫不静好
琴瑟和鸣，白头偕老"
墨西哥美丽,716649,http://img.7799520.com/data/attachment/avatar/201709/25/716649/59c907315b6ef.jpg.thump.jpg,165,初中,上海,上海,1988,2,"你好你好吗我喜欢高的男的，30-45岁，外国人不会用这个app,给我发我怎么可以联系你，我也喜欢男的做运动，微信聊天"
因为是女子呢,716644,http://img.7799520.com/data/attachment/avatar/201709/25/716644/59c9065b83ee2.jpg.thump.jpg,155,大专,广东,广州,1989,2,我一直在这里，没有离开，我一直在等待，等着那个和我终生相伴相爱一生的你的出现。因缘而聚，我始终这样认为，所以觉得这里真的很好，美丽的缘分，也许就是给我的最美丽的暗示吧。一个人走得久了，会累，有个人，陪你在冬日的午后晒太阳，为你递上一杯热气腾腾的绿茶，和心爱的人慢慢变老，还有什么比这更幸福呢？
Y.婷,716608,http://img.7799520.com/data/attachment/avatar/201709/25/716608/59c900d338a35.jpg.thump.jpg,157,高中,四川,成都,1991,2,宁缺毋滥
Rrrr4-,716606,http://img.7799520.com/data/attachment/avatar/201709/25/716606/59c8fe478a77b.jpg.thump.jpg,165,大专,福建,福州,1996,2,一名小护士，想找个人保护！
CrystalS,716590,http://img.7799520.com/data/attachment/avatar/201709/25/716590/59c8fc038f826.jpg.thump.jpg,160,本科,湖北,武汉,1988,2,"生活如同登山，但沿途风景秀丽。
希望能遇到那个对的人，陪我从2017年起一同走下去。"
ruiling,716587,http://img.7799520.com/2018-03-17-1521254399-NyEmKKDo.png,159,大专,广东,广州,1988,2,愿得一人心，白首不相离！我是线下会员，88年单身离异，非诚勿扰！
年糕西西,716474,http://img.7799520.com/data/attachment/avatar/201709/25/716474/59c8dd789cacc.jpg.thump.jpg,164,硕士,江苏,南京,1992,2,今年从清华毕业定居南京，现在是一名刚入职的大学老师。自己性格轻松，可爱，爱旅游爱生活，喜欢小孩和小动物；喜欢幽默，阳光，积极，生活有品味的男生。我不是物质和看中条件的女孩，希望可以遇到和我有相同三观和类似经历的男孩。
淡写小情绪,716390,http://img.7799520.com/data/attachment/avatar/201709/25/716390/59c8c4caeda0c.jpg.thump.jpg,162,本科,河北,石家庄,1988,2,希望在这里找到一个有缘人。不喜欢相亲。希望在这里找个正常的
林晓雪,716326,http://img.7799520.com/data/attachment/avatar/201709/28/716326/59cc63c61a21f.jpg.thump.jpg,167,本科,福建,福州,1989,2,"在最适合的年纪,穿上最美的婚纱,嫁给最稳妥的人"
Adela-,716237,http://img.7799520.com/data/attachment/album/201709/25/716237/59c89d74e6c0a.jpg.thmub.jpg,166,本科,广东,广州,1991,2,"我的性格特点是温柔体贴,业余时间我喜欢画画，钢琴，健身，看书,我憧憬的生活是能和另一伴互帮互助,我希望另一半是成熟稳重，责任心，上进心。"
Waiting。,716176,http://img.7799520.com/data/attachment/avatar/201709/25/716176/59c8bff6d1841.jpg.thump.jpg,168,本科,贵州,遵义,1990,2,见之不忘，思之若狂。
流浪到火星,716160,http://img.7799520.com/2017-10-23-1508743863-cQbXzk2k.png,162,本科,上海,上海,1993,2,我喜欢健身，健身能让心情变好。我平时喜欢逛吃逛吃，偶尔举行，偶尔读两本书，生活简单，希望找到一个有生活品味，懂的生活的人，以后能陪着我去旅行，和我一起健身，和我一起度过这无聊又有趣的时光。
微凉徒眸意。,716141,http://img.7799520.com/data/attachment/avatar/201709/25/716141/59c8872290433.jpg.thump.jpg,166,大专,福建,福州,1995,2,目前单身，想找情投意合男孩子，有想法加微信15960146608要求福州的或者连江
半杯红洒,716139,http://img.7799520.com/a4b2939d-8d28-4080-a37f-60f115da0247,162,初中,广东,广州,1971,2,希望找到一个真心实意互相扶持陪伴着过完余生。
Miss彭,716108,http://img.7799520.com/data/attachment/avatar/201709/25/716108/59c881a3f3a32.jpg.thump.jpg,162,本科,广东,广州,1989,2,喜欢成熟的，性格好，温柔的男士
海绵锋利,716100,http://img.7799520.com/data/attachment/avatar/201710/02/716100/59d2042f74cd3.jpg.thump.jpg,163,本科,福建,福州,1980,2,愿，蓦然回首，那人在灯火阑珊处……
Marilyn张,716075,http://img.7799520.com/data/attachment/avatar/201709/25/716075/59c8731f7a81d.jpg.thump.jpg,161,大专,湖北,孝感,1991,2,大多数完美的爱情都是从相遇开始的。
我是未未未,716046,http://img.7799520.com/data/attachment/avatar/201709/25/716046/59c86ada52d41.jpg.thump.jpg,166,大专,四川,成都,1993,2,这个平时不常用，方便的话请加微信
凯丽2,715683,http://img.7799520.com/9756366e-25f6-4808-8677-5aa20fe1b314,158,大专,广东,广州,1991,2,回首向来萧瑟处，你可在在灯火阑珊处？
晓晓→_→小小,715650,http://img.7799520.com/data/attachment/avatar/201709/25/715650/59c7d7ccb4b2e.jpg.thump.jpg,160,中专,广东,珠海,1990,2,愿得一人心，白首不分离：u269112919
精致女人~菲,715648,http://img.7799520.com/data/attachment/avatar/201709/25/715648/59c8a665651b8.jpg.thump.jpg,160,大专,福建,厦门,1981,2,^_^:
无所谓的等待,715620,http://img.7799520.com/data/attachment/avatar/201709/24/715620/59c7d216018bd.jpg.thump.jpg,156,大专,广东,佛山,1995,2,处这世间游，看云卷云舒
A-Y-Y,715590,http://img.7799520.com/data/attachment/avatar/201709/27/715590/59cb5f92beded.jpg.thump.jpg,161,本科,四川,成都,1995,2,你宠我如初，我爱你到老！
译丶,715554,http://img.7799520.com/data/attachment/avatar/201709/24/715554/59c7c85d568e7.jpg.thump.jpg,165,高中,上海,上海,1987,2,31岁以下的求别点，谢谢！
塔尖猫咪1013,715550,http://img.7799520.com/data/attachment/avatar/201709/24/715550/59c7c7539f22e.jpg.thump.jpg,160,大专,上海,上海,1989,2,年轻且优秀，颓废且积极
找呀找呀么找朋友,715459,http://img.7799520.com/2018-01-01-1514775763-9My06W0b.png,155,大专,广东,深圳,1993,2,希望找到那个相爱相惜的人
v信fs5543,715450,http://img.7799520.com/data/attachment/avatar/201710/12/715450/59de4441a460f.jpg.thump.jpg,163,本科,广东,佛山,1996,2,我喜欢猛的，不介意就加个v信聊聊。
欣Baby,715439,http://img.7799520.com/data/attachment/avatar/201709/24/715439/59c7b3c3e4602.jpg.thump.jpg,162,本科,上海,上海,1993,2,陪伴是最长情的告白！
蛋蛋君大人,715414,http://img.7799520.com/data/attachment/avatar/201709/24/715414/59c7b1226c627.jpg.thump.jpg,160,大专,广东,广州,1988,2,我的大仁哥会是你吗？守着，看着，一直好着呢
权小然,715408,http://img.7799520.com/2018-03-09-1520595216-Jszw3oSa.png,162,大专,广东,广州,1995,2,确认过眼神，遇上对的人
一半一半？,715381,http://img.7799520.com/data/attachment/avatar/201709/24/715381/59c7ac65df042.jpg.thump.jpg,165,大专,广东,深圳,1984,2,希望成为更好的自己，遇见更好的你
sun露,715324,http://img.7799520.com/data/attachment/avatar/201709/24/715324/59c7a08a0677c.jpg.thump.jpg,160,本科,安徽,芜湖,1991,2,暮然回首，那人是你吗？
佳妮妮妮,715294,http://img.7799520.com/data/attachment/avatar/201709/24/715294/59c79890f2f81.jpeg.thump.jpeg,167,本科,湖南,长沙,1993,2,希望在最好的年纪遇到最好的你，个人基本信息真实，择偶标准已注明。真诚交友，非诚勿扰。13875923804微信同号。
lensie,715258,http://img.7799520.com/data/attachment/avatar/201709/24/715258/59c790a005136.jpg.thump.jpg,164,本科,北京,北京,1983,2,可能我相对慢热或各种保护意识，不习惯上来就咄咄逼人一直索取电话Q微信等各种，何况网络各种虚无。先在这平台聊聊吧～请理解，谢谢！
媚儿雪,715252,http://img.7799520.com/data/attachment/avatar/201709/24/715252/59c78dd9c9cb4.jpg.thump.jpg,160,高中,新疆,乌鲁木齐,1991,2,愿得一人心，白首不分离！！！希望上了年纪的叔叔们不要在联系我了，真的好烦！说的难听点你们还能活多久都不知道，我还是年轻女孩呢！拜托了……
summer86,715177,http://img.7799520.com/data/attachment/avatar/201709/24/715177/59c77ec99b680.jpg.thump.jpg,160,本科,广东,深圳,1986,2,别再躲了，赶紧出来吧
唐糖糖❤️,715132,http://img.7799520.com/2018-01-06-1515198434-QgqouB9W.png,162,本科,上海,上海,1989,2,敢不敢来个我看上的，靠谱的？
x馨。欣,715131,http://img.7799520.com/b7a9d2e9-9d8e-443a-a57f-65d14266ef6b,160,大专,福建,福州,1995,2,我在这等你，你在哪等我呢
忆苦思甜006,715108,http://img.7799520.com/data/attachment/album/201709/24/715108/59c77b609c9ac.jpg.thmub.jpg,160,大专,福建,厦门,1988,2,一座城一个人久了向往两个人的温馨！希望那个你积极向上 孝顺 上进 未来我们手牵手一起面对，不管未来富贵贫瘠与否，只要心是近的，日子就能过得开心 期待你的出现。。。快到我碗里来。。。嘻嘻
路过的幸福,715105,http://img.7799520.com/data/attachment/avatar/201709/24/715105/59c7714989102.jpg.thump.jpg,152,高中,四川,成都,1981,2,也许我很平凡，但是我绝不缺乏生活的热情和生命的梦想，也许我会孤单，但是我会一路找寻你的踪迹。遇见你，将是我生命中最绚烂的时刻。
麦麦格,715098,http://img.7799520.com/2018-02-04-1517709528-gpKFMYke.png,160,本科,江苏,南京,1994,2,本人诚心想找可以结婚的对象，所以30岁以上的，南京之外的请勿打扰
Windy燕,715035,http://img.7799520.com/data/attachment/avatar/201709/26/715035/59c9bc26591e8.jpg.thump.jpg,165,大专,广东,深圳,1985,2,因社交圈子有限，缘分可遇不可求！只好上此平台碰碰运气，诚心寻找结婚对象的，非诚勿扰……还有本人虽不是外貌协会，但最起码的审美标准还是有的，自己工作稳定，经济条件也算奔小康了，所以希望写信来的看完再决定要不要写信，也不想浪费您的宝贵时间！希望觅得一位人生知己，共同谱写这精彩的下半生。
Liao.s,714971,http://img.7799520.com/2017-11-26-1511671950-iPwwURPa.png,160,大专,广东,广州,1983,2,选择～最適合自己的状态生活，愛情亦是如此⋯
candy静思,714963,http://img.7799520.com/data/attachment/avatar/201709/24/714963/59c752d7841aa.jpg.thump.jpg,155,本科,广东,广州,1986,2,首先声明：个人资料是真实的，没有虚伪没有欺骗，平台是好的，但是有很多人利用这样的平台去进行欺骗金钱，财物等，很抱歉，我只想通过这平台找到有缘人。
月儿圆圆,714717,http://img.7799520.com/2018-01-25-1516845136-fuURG784.png,168,大专,上海,上海,1988,2,愿得一人心，白首不相离，籍贯：湖北十堰，资料改不了
少绾,714648,http://img.7799520.com/data/attachment/avatar/201709/24/714648/59c711bd7bb44.jpg.thump.jpg,160,大专,上海,上海,1990,2,"单身。性格前期被动，心动了会变主动。
自动一键招呼信息太多可能忽略，有意者可以多发几个信息联系我，真心想找个喜欢的人
喜欢的类型是：让我觉得很棒，有点厉害，很欣赏，有点小崇拜的。"
徐嘉,714537,http://img.7799520.com/07544873-a18e-4db2-9cea-7e1ccdc4ab2e,163,中专,广东,深圳,1987,2,一切随缘
